Fecha;Concepto;Proveedor;Moneda;Monto;TC;Monto en USD;Origen;Forma;Destino;Tipo Comprobante;Comp. No.;Recibo;Estado del Pago;Vencimiento;Cheque No.;Fecha de Pago;Ref. Operaci¢n;ID Mes Registro;ID Registro;Proyecto;ID Mes Pago;Categor¡a;éltimo Registro: 3717;éltimo en Costos: 3626 (Obsoleto);;;;;;;
08/02/18;TCC Federico - Internet;Federico Del Rey;UYU;800,00;28,50;28,08;PSS;D‚bito PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;83;;;;;;;;;;;;
08/02/18;TCC Federico - Cable;Federico Del Rey;UYU;860,00;28,50;30,18;PSS;D‚bito PSS - Ita£ UYU;Adel. Alquileres;Sin Comp.;N/A;N/A;;;;;;;84;;;;;;;;;;;;
08/02/18;Pago 30% Proforma Mallas;Suzhou Bod Plastics Co. Ltd.;USD;3.855,60;1,00;3.855,60;PSS;Transf. PSS - Ita£ USD;Mercader¡a;Cr‚dito;20180208;N/A;;;;;23. Mallas Plasticas - Guarino;;85;23;;1;;;;;;;;;
09/02/18;Debito Abitab por pago TCC Federico;ABITAB;UYU;5,71;28,60;0,20;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos;Sin Comp.;N/A;N/A;;;;;;;86;;;;;;;;;;;;
09/02/18;Costo por Transferencia (Proforma);ITAU;USD;60,00;1,00;60,00;PSS;D‚bito Aut. PSS - Ita£ USD;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;23. Mallas Plasticas - Guarino;;87;23;;1;;;;;;;;;
09/02/18;Compra Combustible;Petrobras - Colben Ltda.;UYU;1.000,00;28,60;34,97;Juan;Efectivo;Gastos;Boleta;7380;N/A;;;;;;;88;;;;;;;;;;;;
09/02/18;Env¡o Docs a Guarino - Correo;Administracion Nacional de Correos;UYU;80,00;28,60;2,80;Javier;Efectivo;Costos;Boleta;28913;N/A;;;;;23. Mallas Plasticas - Guarino;;89;23;;1;;;;;;;;;
11/02/18;Compra Disco;Disco;UYU;3.656,31;28,60;127,87;Javier;D‚bito Ita£ Javier;Gastos;Boleta;2058400;N/A;;;;;;;90;;;;;;;;;;;;
15/02/18;OSE 09Ene-06Feb;OSE;UYU;317,00;28,80;11,01;PSS;Paganza PSS - Ita£ UYU;Serv. Publicos;Cr‚dito;902657;N/A;;;;;;;91;;;;;;;;;;;;
15/02/18;Debito Banking Card Plastico1;ITAU;UYU;912,80;28,80;31,70;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;92;;;;;;;;;;;;
15/02/18;Debito Banking Card Plastico2;ITAU;UYU;912,80;28,80;31,70;PSS;D‚bito Aut. PSS - Ita£ UYU;Gastos Banc.;Sin Comp.;N/A;N/A;;;;;;;93;;;;;;;;;;;;
